Nombre_Evento,Categoria_Amigable,Tipo_Evento_ML,Fecha,Latitud,Longitud,Origen
Antarctica Experience,Teatro/Cultura,Feria_Congreso,2026-03-26,41.37637,2.14931,Ticketmaster
Antarctica Experience,Teatro/Cultura,Feria_Congreso,2026-03-25,41.37637,2.14931,Ticketmaster
